               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.041414,            0.022244,           0.0089093,             0.68075,             0.55262,             0.61204,             0.28031,            0.039931,            0.018374,           0.0094067,            0.008812,            0.008812,            0.008812
                  38,            0.041558,            0.022248,           0.0088353,             0.61637,             0.53575,             0.58492,             0.26368,            0.040991,            0.018601,           0.0095337,            0.008779,            0.008779,            0.008779
                  39,            0.041123,            0.022307,           0.0083282,             0.66434,             0.58886,             0.63495,             0.29694,            0.039216,            0.017405,           0.0083371,            0.008746,            0.008746,            0.008746
                  40,            0.041385,            0.022035,           0.0086339,             0.57419,              0.5514,             0.57486,             0.26395,            0.040502,            0.018571,           0.0094641,            0.008713,            0.008713,            0.008713
                  41,             0.04104,            0.022344,           0.0083828,             0.69986,             0.55743,             0.61837,             0.28229,             0.03957,            0.018145,           0.0090915,             0.00868,             0.00868,             0.00868
                  42,            0.040856,            0.021778,           0.0083587,             0.58974,             0.57363,             0.61892,             0.29057,            0.038648,             0.01769,            0.008035,            0.008647,            0.008647,            0.008647
                  43,            0.040355,            0.022051,           0.0082488,             0.73103,             0.56626,             0.63475,             0.30093,            0.037968,            0.017466,           0.0078145,            0.008614,            0.008614,            0.008614
                  44,            0.040431,            0.021722,           0.0080144,             0.61056,             0.57728,             0.61135,             0.27847,            0.038843,            0.018013,           0.0082396,            0.008581,            0.008581,            0.008581
                  45,            0.040744,            0.021872,           0.0082175,             0.66687,             0.59772,             0.64461,             0.29603,            0.038914,            0.017412,            0.007206,            0.008548,            0.008548,            0.008548
                  46,            0.040405,            0.021729,           0.0079766,             0.73607,             0.60311,               0.675,             0.32498,            0.037661,            0.017122,           0.0069174,            0.008515,            0.008515,            0.008515
                  47,            0.039999,            0.021958,           0.0081872,             0.63687,             0.63127,             0.67363,             0.30673,            0.037588,            0.017498,           0.0066569,            0.008482,            0.008482,            0.008482
                  48,            0.040078,            0.021904,           0.0077455,             0.65104,             0.59691,             0.64737,               0.304,            0.038313,             0.01725,           0.0079295,            0.008449,            0.008449,            0.008449
