epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3471.02,1.44084,1.2563,1.33959,0.74775,0.63865,0.73793,0.38729,1.609,1.24935,1.4842,0.000456863,0.000456863,0.000456863
43,3549.71,1.44082,1.23482,1.32887,0.74457,0.65932,0.74322,0.38579,1.60043,1.20418,1.47551,0.00044925,0.00044925,0.00044925
44,3628.12,1.43671,1.22305,1.32385,0.73081,0.63127,0.72191,0.37975,1.61625,1.21541,1.48928,0.000441637,0.000441637,0.000441637
45,3706.68,1.41896,1.20633,1.3225,0.72335,0.67298,0.74597,0.39242,1.59998,1.22065,1.49808,0.000434024,0.000434024,0.000434024
46,3794.91,1.4148,1.20566,1.3183,0.70291,0.67378,0.7188,0.37312,1.63769,1.20761,1.47958,0.000426411,0.000426411,0.000426411
47,3881.39,1.4108,1.19561,1.32042,0.72919,0.67139,0.72352,0.37825,1.64116,1.24508,1.51507,0.000418797,0.000418797,0.000418797
48,3960.03,1.41479,1.19142,1.31435,0.74292,0.67713,0.7531,0.38972,1.59751,1.18809,1.48002,0.000411184,0.000411184,0.000411184
49,4038.52,1.40875,1.17019,1.31175,0.70007,0.67103,0.72761,0.38184,1.61132,1.20618,1.48055,0.000403571,0.000403571,0.000403571
50,4117.14,1.39084,1.15872,1.30096,0.71924,0.68045,0.73934,0.38763,1.63964,1.20741,1.5009,0.000395958,0.000395958,0.000395958
51,4195.99,1.38651,1.154,1.30039,0.72253,0.67875,0.73592,0.38103,1.61292,1.19567,1.50482,0.000388345,0.000388345,0.000388345
52,4274.48,1.38497,1.13978,1.30159,0.74719,0.67499,0.75201,0.39448,1.60115,1.17699,1.49049,0.000380732,0.000380732,0.000380732
53,4353.76,1.37561,1.11935,1.29346,0.73711,0.66204,0.7405,0.39209,1.61827,1.16913,1.50157,0.000373119,0.000373119,0.000373119
54,4432.54,1.36692,1.10442,1.28449,0.74852,0.66773,0.74647,0.40032,1.62314,1.19643,1.5072,0.000365506,0.000365506,0.000365506
55,4512.07,1.36371,1.11514,1.28887,0.73185,0.69342,0.75068,0.39767,1.61906,1.16601,1.51215,0.000357893,0.000357893,0.000357893
56,4590.57,1.35283,1.08949,1.28561,0.78171,0.66548,0.76296,0.39937,1.60963,1.16754,1.49823,0.00035028,0.00035028,0.00035028
57,4675.72,1.35039,1.08165,1.27782,0.7283,0.68774,0.75123,0.40169,1.61811,1.17745,1.51062,0.000342666,0.000342666,0.000342666
58,4764.39,1.35015,1.08533,1.27603,0.7352,0.6742,0.73849,0.39247,1.61734,1.16519,1.5023,0.000335053,0.000335053,0.000335053
59,4843.05,1.3298,1.04553,1.26638,0.73147,0.66997,0.7451,0.38972,1.64826,1.1707,1.52558,0.00032744,0.00032744,0.00032744
60,4922.01,1.32951,1.04344,1.26415,0.72075,0.70007,0.74727,0.39237,1.62283,1.15916,1.51217,0.000319827,0.000319827,0.000319827
61,5001.65,1.31783,1.03136,1.25576,0.71671,0.68126,0.74023,0.38584,1.63949,1.17476,1.53838,0.000312214,0.000312214,0.000312214
62,5080.36,1.30954,1.02778,1.25579,0.76387,0.65463,0.74495,0.39712,1.63477,1.15458,1.53512,0.000304601,0.000304601,0.000304601
63,5158.8,1.29492,1.0104,1.24273,0.74359,0.66292,0.74896,0.39788,1.62805,1.16282,1.53173,0.000296988,0.000296988,0.000296988
64,5237.17,1.28698,0.99677,1.2356,0.74597,0.66095,0.74133,0.39256,1.63442,1.1658,1.53117,0.000289375,0.000289375,0.000289375
65,5315.87,1.28483,0.99285,1.23735,0.71516,0.66338,0.73759,0.39129,1.63967,1.15342,1.53569,0.000281762,0.000281762,0.000281762
66,5395.17,1.28154,0.97731,1.23466,0.73547,0.69074,0.74502,0.39507,1.63486,1.13315,1.5196,0.000274148,0.000274148,0.000274148
67,5474.52,1.2701,0.9627,1.22822,0.7492,0.66345,0.74409,0.39193,1.6414,1.14251,1.54248,0.000266535,0.000266535,0.000266535
68,5565.16,1.25849,0.95959,1.22053,0.7238,0.72254,0.75438,0.39805,1.62226,1.13475,1.52373,0.000258922,0.000258922,0.000258922
69,5655.35,1.25521,0.94753,1.21523,0.74377,0.68698,0.75224,0.39817,1.63028,1.13884,1.52338,0.000251309,0.000251309,0.000251309
70,5734.1,1.23876,0.93261,1.20891,0.73223,0.68791,0.75077,0.39879,1.63868,1.13842,1.54228,0.000243696,0.000243696,0.000243696
71,5812.77,1.24332,0.9266,1.2123,0.73716,0.67169,0.74597,0.39813,1.64383,1.14243,1.5417,0.000236083,0.000236083,0.000236083
72,5891.34,1.24218,0.93145,1.20846,0.73845,0.69529,0.75978,0.40336,1.64854,1.12558,1.54669,0.00022847,0.00022847,0.00022847
73,5970.84,1.22603,0.90995,1.19994,0.74282,0.69382,0.75337,0.39846,1.65528,1.13064,1.54949,0.000220857,0.000220857,0.000220857
74,6049.75,1.2205,0.90673,1.19842,0.73624,0.6833,0.74094,0.39603,1.65003,1.14133,1.54914,0.000213244,0.000213244,0.000213244
75,6128.32,1.20284,0.8915,1.18105,0.73301,0.68245,0.74789,0.39838,1.65943,1.1589,1.55921,0.000205631,0.000205631,0.000205631
76,6207.02,1.20325,0.87938,1.19131,0.7688,0.67927,0.74349,0.39,1.67811,1.17981,1.56768,0.000198018,0.000198018,0.000198018
77,6285.77,1.18861,0.87923,1.18027,0.76055,0.6879,0.75746,0.4017,1.64277,1.14236,1.55266,0.000190404,0.000190404,0.000190404
78,6364.55,1.17075,0.85704,1.17033,0.78931,0.67051,0.75437,0.39546,1.66007,1.16934,1.56611,0.000182791,0.000182791,0.000182791
79,6443.21,1.17022,0.86071,1.17842,0.75595,0.68496,0.75435,0.39912,1.65215,1.14762,1.56739,0.000175178,0.000175178,0.000175178
80,6533.41,1.16433,0.84793,1.16547,0.75817,0.68307,0.76073,0.40319,1.65338,1.14781,1.56764,0.000167565,0.000167565,0.000167565
81,6613.72,1.15815,0.84823,1.16869,0.76939,0.68448,0.75749,0.39718,1.67486,1.14185,1.57859,0.000159952,0.000159952,0.000159952
82,6692.46,1.14357,0.83385,1.16148,0.7498,0.69449,0.75735,0.39933,1.66635,1.13872,1.5794,0.000152339,0.000152339,0.000152339
83,6771.26,1.14227,0.83284,1.15727,0.74907,0.67092,0.75257,0.39846,1.67179,1.15005,1.57928,0.000144726,0.000144726,0.000144726
84,6849.9,1.13515,0.81841,1.15433,0.77438,0.65953,0.7492,0.39239,1.67366,1.14735,1.58413,0.000137113,0.000137113,0.000137113
85,6928.53,1.12487,0.81285,1.14405,0.79271,0.63461,0.73753,0.38695,1.68202,1.15908,1.59636,0.0001295,0.0001295,0.0001295
86,7007.13,1.10969,0.79689,1.13813,0.73505,0.69545,0.74033,0.38801,1.67701,1.16056,1.59602,0.000121887,0.000121887,0.000121887
87,7085.87,1.11184,0.80521,1.14346,0.73119,0.71841,0.75198,0.39571,1.68587,1.15865,1.6021,0.000114273,0.000114273,0.000114273
88,7164.38,1.10203,0.78771,1.13603,0.77624,0.65882,0.74834,0.39389,1.69425,1.17441,1.60206,0.00010666,0.00010666,0.00010666
89,7242.9,1.11056,0.79239,1.13989,0.76621,0.69121,0.75228,0.39352,1.69495,1.16657,1.61124,9.90472e-05,9.90472e-05,9.90472e-05
90,7321.7,1.09311,0.7762,1.13048,0.79133,0.66755,0.75115,0.39378,1.69756,1.16483,1.60186,9.14341e-05,9.14341e-05,9.14341e-05
91,7427.13,1.04373,0.71575,1.10152,0.71501,0.70778,0.73519,0.38746,1.70148,1.16462,1.61343,8.3821e-05,8.3821e-05,8.3821e-05
92,7504.95,1.00164,0.66647,1.0802,0.75156,0.691,0.74052,0.39197,1.70511,1.17069,1.61991,7.62079e-05,7.62079e-05,7.62079e-05
93,7583.04,0.98561,0.65479,1.06965,0.71142,0.71384,0.74039,0.39461,1.69476,1.16654,1.61896,6.85948e-05,6.85948e-05,6.85948e-05
94,7660.97,0.97298,0.64832,1.06704,0.76595,0.68309,0.74164,0.38854,1.69483,1.16698,1.6238,6.09817e-05,6.09817e-05,6.09817e-05
95,7738.97,0.96938,0.63636,1.05977,0.7116,0.72271,0.74445,0.38945,1.70431,1.17879,1.63558,5.33686e-05,5.33686e-05,5.33686e-05
96,7817.52,0.96408,0.63618,1.06494,0.73022,0.72284,0.74625,0.38814,1.69661,1.18116,1.63397,4.57555e-05,4.57555e-05,4.57555e-05
97,7896.57,0.94572,0.61658,1.05374,0.74957,0.69948,0.74545,0.39106,1.70013,1.18936,1.63498,3.81424e-05,3.81424e-05,3.81424e-05
98,7974.61,0.93297,0.60922,1.05093,0.72655,0.72193,0.74572,0.39053,1.70003,1.19183,1.63508,3.05293e-05,3.05293e-05,3.05293e-05
99,8056.61,0.92831,0.60834,1.0429,0.71257,0.73171,0.74886,0.39067,1.70341,1.20371,1.64193,2.29162e-05,2.29162e-05,2.29162e-05
100,8137.73,0.92712,0.61523,1.04083,0.73924,0.71075,0.75112,0.39296,1.70008,1.19218,1.63945,1.53031e-05,1.53031e-05,1.53031e-05
