               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04657,              0.0253,            0.012687,             0.49331,             0.42428,              0.4384,              0.1874,            0.046409,            0.020886,            0.012747,            0.009307,            0.009307,            0.009307
                  37,            0.046239,            0.025451,            0.012178,             0.58822,             0.40897,             0.43076,             0.18247,            0.045448,            0.020877,            0.012303,           0.0092872,           0.0092872,           0.0092872
                  38,            0.046362,            0.025428,            0.012201,             0.55795,             0.45563,             0.47384,             0.20451,            0.044755,            0.020419,            0.011922,           0.0092674,           0.0092674,           0.0092674
                  39,            0.045926,            0.025305,            0.011763,             0.53358,             0.43022,             0.44899,             0.19607,              0.0449,            0.020542,             0.01195,           0.0092476,           0.0092476,           0.0092476
                  40,            0.045719,            0.024938,             0.01175,             0.59432,              0.4571,             0.46757,             0.19918,            0.044231,            0.020462,            0.010462,           0.0092278,           0.0092278,           0.0092278
                  41,            0.045615,            0.025361,            0.011215,             0.56409,              0.4508,             0.46054,             0.20176,             0.04519,            0.020727,             0.01177,            0.009208,            0.009208,            0.009208
                  42,            0.045435,            0.024879,            0.011287,             0.58954,             0.45091,             0.46344,             0.20369,            0.043511,            0.020649,            0.011103,           0.0091882,           0.0091882,           0.0091882
                  43,            0.044975,            0.024994,            0.010935,             0.55176,             0.43231,             0.44546,             0.18223,            0.046547,            0.020497,            0.014461,           0.0091684,           0.0091684,           0.0091684
                  44,            0.044881,            0.024806,             0.01126,             0.53036,             0.44913,             0.45826,             0.19739,            0.045792,            0.020255,            0.012456,           0.0091486,           0.0091486,           0.0091486
                  45,            0.045061,            0.024916,            0.011322,             0.53552,             0.44108,             0.46734,             0.20246,            0.044528,            0.020519,            0.011895,           0.0091288,           0.0091288,           0.0091288
                  46,            0.044811,            0.024843,              0.0106,             0.57762,             0.47112,             0.50998,             0.22847,            0.043177,            0.019717,            0.010421,            0.009109,            0.009109,            0.009109
                  47,            0.044657,             0.02504,            0.011175,             0.59541,             0.46885,             0.48855,             0.21644,            0.043739,            0.020146,            0.010771,           0.0090892,           0.0090892,           0.0090892
                  48,            0.044321,            0.024798,             0.01052,             0.53851,             0.47759,             0.48698,             0.21661,            0.043728,            0.020201,            0.011526,           0.0090694,           0.0090694,           0.0090694
                  49,            0.044298,            0.024644,            0.010414,             0.59149,              0.4769,             0.51242,             0.22705,            0.042656,            0.019834,            0.010004,           0.0090496,           0.0090496,           0.0090496
                  50,            0.044108,            0.024853,            0.010179,             0.63432,             0.48333,              0.5326,             0.23915,            0.042622,            0.020087,           0.0092449,           0.0090298,           0.0090298,           0.0090298
                  51,            0.044186,            0.024761,            0.010675,             0.64899,              0.4695,             0.52831,             0.23734,            0.042927,            0.019875,            0.011606,             0.00901,             0.00901,             0.00901
                  52,            0.043972,            0.024436,             0.01022,             0.56666,              0.4847,             0.51496,             0.23332,            0.042612,             0.01974,           0.0094848,           0.0089902,           0.0089902,           0.0089902
                  53,            0.043656,            0.024551,           0.0099307,             0.61864,             0.45747,             0.48143,             0.21225,            0.045023,            0.020367,            0.013399,           0.0089704,           0.0089704,           0.0089704
                  54,            0.043649,            0.024356,            0.010002,             0.56513,             0.43511,             0.46997,             0.20842,            0.044523,            0.020293,             0.01289,           0.0089506,           0.0089506,           0.0089506
                  55,            0.043629,            0.024378,              0.0096,             0.58618,             0.47042,             0.51806,             0.23627,            0.042355,            0.019768,           0.0098214,           0.0089308,           0.0089308,           0.0089308
                  56,            0.043514,            0.024624,           0.0099099,             0.53893,             0.49138,             0.51016,             0.22724,            0.043374,            0.019851,            0.010367,            0.008911,            0.008911,            0.008911
                  57,            0.043292,            0.024515,            0.010121,             0.57772,             0.49187,             0.51422,             0.22794,            0.042755,            0.019774,            0.011004,           0.0088912,           0.0088912,           0.0088912
                  58,            0.042886,            0.024156,           0.0092135,             0.56415,             0.50355,             0.51316,              0.2267,            0.042932,            0.019663,           0.0098433,           0.0088714,           0.0088714,           0.0088714
                  59,             0.04306,            0.023987,           0.0096536,             0.57975,             0.51107,             0.53461,             0.24895,            0.042867,            0.019535,            0.010245,           0.0088516,           0.0088516,           0.0088516
                  60,            0.043115,            0.024077,           0.0092884,             0.65508,             0.49217,             0.55428,             0.24674,            0.041822,            0.019375,            0.009231,           0.0088318,           0.0088318,           0.0088318
                  61,            0.043038,            0.024359,           0.0091593,             0.57216,             0.46731,             0.48106,             0.20843,            0.043702,            0.020333,            0.011808,            0.008812,            0.008812,            0.008812
                  62,            0.042604,            0.024252,           0.0089227,             0.57787,             0.51364,             0.53343,             0.24765,            0.041414,            0.019273,           0.0099671,           0.0087922,           0.0087922,           0.0087922
                  63,            0.042425,            0.024558,           0.0090063,             0.58976,             0.48907,             0.54021,             0.24648,            0.042304,            0.019243,           0.0095011,           0.0087724,           0.0087724,           0.0087724
                  64,            0.042572,            0.024106,           0.0092752,             0.62855,             0.52351,             0.55697,             0.25503,            0.042576,            0.019444,            0.010727,           0.0087526,           0.0087526,           0.0087526
                  65,            0.042673,            0.024083,           0.0088209,             0.62836,             0.52247,             0.56611,             0.25358,            0.041751,             0.01937,            0.010284,           0.0087328,           0.0087328,           0.0087328
                  66,            0.042822,            0.024362,           0.0088611,             0.61465,             0.52431,              0.5527,             0.25359,            0.041774,            0.019354,           0.0099887,            0.008713,            0.008713,            0.008713
                  67,            0.042546,             0.02418,            0.009053,             0.56935,             0.51048,             0.52656,             0.23878,              0.0425,            0.019634,            0.010754,           0.0086932,           0.0086932,           0.0086932
                  68,            0.041948,             0.02398,           0.0085518,             0.62085,              0.5051,             0.53252,             0.24103,             0.04307,            0.019428,            0.011198,           0.0086734,           0.0086734,           0.0086734
                  69,            0.042035,            0.023948,           0.0085303,             0.65362,             0.54703,             0.56927,             0.26088,            0.040869,            0.019193,           0.0095058,           0.0086536,           0.0086536,           0.0086536
                  70,            0.041987,            0.024249,           0.0084306,             0.62742,             0.52386,             0.54906,             0.25124,            0.040912,            0.019222,            0.010292,           0.0086338,           0.0086338,           0.0086338
                  71,            0.041783,            0.023788,           0.0086249,             0.65593,             0.51335,             0.56306,             0.25363,            0.041706,            0.019192,            0.009594,            0.008614,            0.008614,            0.008614
                  72,            0.042037,            0.024086,           0.0083507,             0.67073,             0.53517,             0.58869,             0.27696,            0.040535,            0.018874,           0.0090049,           0.0085942,           0.0085942,           0.0085942
                  73,             0.04171,            0.023477,           0.0085128,             0.65149,             0.53041,               0.564,             0.26617,            0.041144,            0.019196,           0.0092156,           0.0085744,           0.0085744,           0.0085744
                  74,            0.041666,            0.023368,           0.0083765,             0.65206,             0.51871,             0.57101,             0.27281,            0.041078,            0.018994,           0.0094851,           0.0085546,           0.0085546,           0.0085546
                  75,            0.041569,            0.023281,           0.0084977,             0.67477,             0.52313,             0.56459,             0.26355,             0.04081,            0.019363,           0.0095986,           0.0085348,           0.0085348,           0.0085348
                  76,            0.041657,            0.023556,           0.0082293,             0.64109,             0.53121,             0.56901,             0.26476,            0.041675,            0.018968,           0.0096091,            0.008515,            0.008515,            0.008515
                  77,            0.041427,            0.023705,           0.0082295,             0.67166,             0.54437,             0.59337,             0.27833,            0.040514,            0.018792,           0.0096128,           0.0084952,           0.0084952,           0.0084952
                  78,            0.040995,             0.02353,           0.0079633,             0.66338,             0.52709,             0.57374,             0.26509,            0.041036,             0.01907,           0.0093804,           0.0084754,           0.0084754,           0.0084754
                  79,            0.041105,            0.023618,           0.0084361,             0.66823,             0.53756,             0.58074,             0.27121,            0.041152,            0.018853,            0.009637,           0.0084556,           0.0084556,           0.0084556
                  80,            0.041293,            0.023848,           0.0079192,             0.65942,             0.54472,             0.57834,             0.26986,            0.040831,             0.01879,           0.0097243,           0.0084358,           0.0084358,           0.0084358
                  81,            0.041312,            0.023581,           0.0080486,             0.60278,             0.53583,             0.56507,             0.25809,            0.041237,             0.01896,           0.0096314,            0.008416,            0.008416,            0.008416
                  82,            0.040975,            0.023309,           0.0078568,             0.61133,             0.53747,             0.56979,             0.26662,              0.0403,            0.018809,           0.0098412,           0.0083962,           0.0083962,           0.0083962
                  83,            0.041129,            0.023745,           0.0078124,             0.61864,             0.54646,             0.57709,             0.26971,            0.040765,            0.019018,           0.0090401,           0.0083764,           0.0083764,           0.0083764
                  84,            0.040826,            0.023314,           0.0078993,             0.66216,             0.55707,             0.57789,             0.27025,            0.040413,            0.018826,            0.009093,           0.0083566,           0.0083566,           0.0083566
                  85,            0.041285,            0.023347,           0.0079131,             0.61609,              0.5482,             0.58089,             0.27561,            0.040244,            0.018813,            0.010332,           0.0083368,           0.0083368,           0.0083368
                  86,            0.040696,             0.02332,           0.0076849,             0.68002,             0.52224,             0.58741,             0.27029,            0.040386,            0.018886,           0.0087291,            0.008317,            0.008317,            0.008317
                  87,            0.040319,            0.023206,           0.0074384,             0.66405,             0.52795,             0.57932,              0.2749,            0.040796,            0.018676,           0.0090779,           0.0082972,           0.0082972,           0.0082972
                  88,             0.04023,            0.022991,           0.0071513,             0.65053,             0.55957,             0.58779,              0.2787,            0.040622,            0.018586,           0.0088829,           0.0082774,           0.0082774,           0.0082774
                  89,            0.040768,            0.023051,           0.0074676,             0.62887,             0.55186,              0.5892,             0.27362,            0.040468,            0.018619,           0.0090515,           0.0082576,           0.0082576,           0.0082576
                  90,            0.040592,            0.023133,           0.0074275,             0.67069,             0.54855,              0.6017,             0.28353,             0.04077,            0.018763,           0.0093849,           0.0082378,           0.0082378,           0.0082378
                  91,            0.040366,            0.023147,           0.0073504,             0.66963,             0.53751,             0.58689,             0.27452,            0.040637,            0.018877,           0.0096263,            0.008218,            0.008218,            0.008218
                  92,            0.040351,            0.023459,            0.007238,             0.67603,             0.56327,             0.59651,             0.28408,            0.039372,            0.018678,            0.008678,           0.0081982,           0.0081982,           0.0081982
                  93,            0.040277,            0.023205,           0.0072766,             0.66885,             0.54657,             0.59389,             0.28302,            0.039866,            0.018712,           0.0087194,           0.0081784,           0.0081784,           0.0081784
                  94,             0.04024,            0.023428,           0.0072294,             0.67733,             0.57242,             0.59833,             0.28406,                0.04,            0.018753,           0.0087133,           0.0081586,           0.0081586,           0.0081586
                  95,            0.040397,             0.02312,           0.0071849,             0.67632,             0.53917,             0.58944,             0.28082,            0.040565,            0.018561,           0.0093012,           0.0081388,           0.0081388,           0.0081388
                  96,            0.040141,            0.023212,           0.0071746,             0.64845,             0.55459,             0.58509,             0.27529,             0.04048,            0.018463,           0.0096456,            0.008119,            0.008119,            0.008119
                  97,            0.039978,            0.022799,           0.0070684,              0.6891,             0.56567,             0.60346,             0.28529,            0.039981,            0.018468,           0.0092987,           0.0080992,           0.0080992,           0.0080992
                  98,            0.039962,            0.023315,           0.0068451,             0.68579,              0.5735,             0.59787,             0.28117,            0.040382,             0.01845,           0.0097845,           0.0080794,           0.0080794,           0.0080794
                  99,            0.039775,            0.023107,           0.0071933,             0.68039,             0.56681,             0.60506,             0.28738,            0.040314,            0.018575,           0.0093149,           0.0080596,           0.0080596,           0.0080596
                 100,            0.040045,            0.022839,           0.0070069,             0.71509,             0.57049,             0.62008,             0.29236,            0.039345,            0.018473,            0.008205,           0.0080398,           0.0080398,           0.0080398
                 101,            0.039611,            0.022577,           0.0067639,             0.66674,             0.55912,             0.60565,             0.28076,            0.039722,            0.018651,           0.0081576,             0.00802,             0.00802,             0.00802
                 102,            0.039631,            0.023037,           0.0069985,             0.64213,             0.56543,              0.6035,             0.28653,            0.039238,            0.018449,           0.0084485,           0.0080002,           0.0080002,           0.0080002
                 103,            0.039456,            0.022385,           0.0066197,             0.67531,              0.5695,             0.60928,             0.28897,             0.03962,            0.018341,           0.0087505,           0.0079804,           0.0079804,           0.0079804
                 104,            0.039598,            0.022866,            0.006687,             0.66982,             0.57124,             0.60916,              0.2954,            0.039387,            0.018411,           0.0089268,           0.0079606,           0.0079606,           0.0079606
                 105,            0.039485,            0.022796,           0.0068369,               0.692,             0.56595,             0.60859,             0.29163,            0.040024,            0.018512,           0.0093014,           0.0079408,           0.0079408,           0.0079408
                 106,            0.039186,            0.022847,           0.0062597,             0.67033,             0.58815,             0.61052,             0.29624,            0.039327,            0.018399,           0.0090911,            0.007921,            0.007921,            0.007921
                 107,            0.039097,            0.022892,           0.0067881,             0.71498,              0.5697,             0.62053,             0.29365,            0.039369,            0.018494,           0.0086843,           0.0079012,           0.0079012,           0.0079012
                 108,            0.039427,            0.022965,           0.0068018,             0.69454,             0.57575,             0.61899,             0.29692,            0.039939,            0.018368,           0.0099441,           0.0078814,           0.0078814,           0.0078814
                 109,            0.039247,            0.022711,           0.0067875,             0.71355,              0.5585,             0.62381,             0.29942,            0.039434,            0.018294,           0.0092678,           0.0078616,           0.0078616,           0.0078616
                 110,             0.03901,            0.022862,           0.0063745,             0.69225,             0.56402,              0.6164,             0.29501,            0.039327,            0.018352,           0.0090361,           0.0078418,           0.0078418,           0.0078418
                 111,            0.039121,            0.022295,           0.0065169,             0.66458,             0.57763,              0.6157,             0.29535,            0.039591,            0.018241,           0.0095104,            0.007822,            0.007822,            0.007822
                 112,            0.039033,            0.022686,            0.006638,             0.70002,             0.55848,               0.619,             0.29669,            0.038991,            0.018294,            0.009016,           0.0078022,           0.0078022,           0.0078022
                 113,            0.038775,            0.022732,            0.006434,              0.6861,             0.56881,             0.61376,             0.29733,            0.039061,            0.018229,           0.0094677,           0.0077824,           0.0077824,           0.0077824
                 114,            0.039033,            0.022496,           0.0065021,             0.66484,             0.58168,             0.60712,             0.29281,             0.03916,            0.018255,           0.0094804,           0.0077626,           0.0077626,           0.0077626
                 115,            0.038972,            0.022539,           0.0063456,               0.662,             0.57393,             0.61463,             0.29982,            0.039295,            0.018316,           0.0097444,           0.0077428,           0.0077428,           0.0077428
